


 
SIU Edwardsville,31,18,13,.581,9,5,7,8,2320,2218
Southern Indiana,31,16,15,.516,10,4,5,11,2394,2302
Southern Methodist,29,10,19,.345,7,8,1,10,2042,2164
Southern Mississippi,31,25,6,.806,15,0,8,6,2315,2016
Southern Utah,29,19,10,.655,12,1,5,8,2415,2126
St. Bonaventure,30,14,16,.467,11,4,2,10,2022,2029
St. Francis (NY),29,14,15,.483,10,5,4,10,1871,1951
St. John's (NY),30,17,13,.567,11,6,3,7,2312,2250
St. Thomas,31,18,13,.581,12,2,4,11,2315,2186
Stanford,29,12,17,.414,9,6,1,7,2013,1966
Stephen F. Austin,29,19,10,.655,12,3,6,4,2223,1981
Stetson,29,17,12,.586,9,2,7,9,2228,2117
Stonehill,31,14,17,.452,7,4,6,12,2076,2157
Stony Brook,31,10,21,.323,7,7,3,13,1955,2144
Syracuse,29,16,13,.552,10,6,5,6,2150,2097
Tarleton State,30,15,15,.500,11,2,2,12,2134,2049
TCU,29,19,10,.655,12,4,3,6,2206,1961
Temple,29,15,14,.517,8,7,6,5,2034,2025
Tennessee,29,21,8,.724,13,2,4,5,2083,1645
Tennessee State,31,18,13,.581,13,4,4,8,2416,2310
Tennessee Tech,31,15,16,.484,11,5,4,11,2272,2269
Tennessee-Martin,31,18,13,.581,14,2,4,11,2514,2336
Texas,29,22,7,.759,16,1,4,5,2296,1995
Texas A&M,29,21,8,.724,14,1,6,4,2137,1911
Texas A&M-Commerce,31,13,18,.419,7,5,7,12,2196,2249
Texas A&M-Corpus Christi,30,20,10,.667,13,2,6,7,2405,2172
Texas Southern,29,11,18,.379,7,6,3,11,2005,2086
Texas State,31,13,18,.419,4,10,7,7,2034,2090
Texas Tech,29,16,13,.552,11,5,3,6,2154,1992
Texas-Rio Grande Valley,30,15,15,.500,12,6,3,9,2378,2340
The Citadel,31,10,21,.323,5,9,4,11,2117,2308
Toledo,30,24,6,.800,13,1,8,3,2565,2297
Towson,31,20,11,.645,10,2,8,7,2210,2065
Troy,31,19,12,.613,11,3,7,8,2279,2070
Tulane,26,17,9,.654,10,3,5,3,2110,1979
Tulsa,28,5,23,.179,4,10,0,11,1840,2170
UAB,31,22,9,.710,15,2,5,5,2541,2203
UC Davis,29,17,12,.586,9,3,5,9,2161,2025
UC Irvine,30,20,10,.667,10,4,8,6,2277,2025
UC Riverside,30,20,10,.667,9,3,8,7,2170,2061
UC San Diego,30,10,20,.333,4,10,6,9,2057,2189
UC Santa Barbara,29,22,7,.759,11,3,9,4,2056,1881
UCLA,29,25,4,.862,15,0,9,2,2138,1730
UNC Asheville,31,24,7,.774,13,0,10,6,2333,2131
UNC Greensboro,31,20,11,.645,11,3,8,6,2240,1997
UNC Wilmington,31,22,9,.710,11,3,8,6,2133,1983
UT Arlington,29,11,18,.379,6,8,4,7,1933,1950
Utah,30,17,13,.567,13,5,4,6,2075,1901
Utah State,29,22,7,.759,13,2,5,4,2274,2031
